city,lat,lon
granada,37.1830197,-3.602192
vizcaya,43.2382642,-2.85220752898
asturias,43.27156285,-5.85394655941
sevilla,37.3886303,-5.9953171
valencia,39.4699014,-0.3759513
a coruna,43.1538815,-8.58094180456
barcelona,41.3828939,2.1774322
burgos,42.343926,-3.696977
malaga,36.7213028,-4.4216366
jaen,37.7728858,-3.7883289
madrid,40.4167047,-3.7035825
murcia,37.9923795,-1.1305431
zaragoza,41.6521342,-0.8809428
alicante,38.353738,-0.4901846
palencia,42.0108141,-4.5327853
baleares,39.6134018,2.88043053264
badajoz,38.8768616,-6.9733409
pontevedra,42.36226445,-8.53350407214
guipuzcoa,43.14450225,-2.20416438046
cadiz,36.5298292,-6.2925679
navarra,42.61254875,-1.83079128336
salamanca,40.9651572,-5.6640182
alava,42.8437731,-2.681889397
melilla,35.2919028,-2.9407146
las palmas,27.9580004,-15.6062305377
girona,41.9793006,2.8199439
huesca,42.1382539,-0.4080901
lleida,41.6147605,0.6267842
segovia,40.9502159,-4.1241494
toledo,41.6786754,-83.5127283
valladolid,41.6521328,-4.728562
cantabria,43.135837,-4.26363267815
la rioja,42.3285528,-2.4674917
huelva,37.2575874,-6.9484945
avila,40.656478,-4.7002172
tarragona,41.1172364,1.2546057
ciudad real,38.95975095,-3.88282833922
castellon,40.25185675,-0.0615051101057
sta. c. tenerife,38.5667295,-0.6257393
soria,41.7633842,-2.4642041
caceres,39.4745175,-6.3716761
guadalajara,40.7399963,-2.50593002588
cordoba,37.8849779,-4.7760131
leon,30.4683062,-84.2549068
almeria,36.8414197,-2.4628135
albacete,38.9951049,-1.8559613
orense,42.1939629,-7.53712401397
cuenca,40.0681156,-2.1348241
zamora,41.5056574,-5.7448039
lugo,43.0396042,-7.45660716651
teruel,40.3436719,-1.1081939
ceuta,35.888361,-5.304138
